name,cuisine,price,rating,city,area,restaurant_link,status,has_online_delivery,has_table_booking,cuisine_count,area_popularity,cost_numeric,cost_category,restaurant_type
Beep,"North Indian, Chinese, Continental, Pizza, Pasta","₹2,500 for two",4.6,agra,tajganj,https://www.zomato.com/agra/beep-rakabganj/info,Open,Yes,Yes,5,18,2500,High,Luxury
Molecule Air Bar,"North Indian, Chinese, Continental, Italian, Finger Food","₹1,700 for two",4.5,agra,tajganj,https://www.zomato.com/agra/molecule-air-bar-tajganj/info,Open,Yes,Yes,5,18,1700,High,Luxury
Sidewalk Bakehouse & Cafe,"Beverages, Cafe, Coffee, Continental, Italian, Bakery, Healthy Food, Pasta","₹1,500 for two",4.5,agra,tajganj,https://www.zomato.com/agra/sidewalk-bakehouse-cafe-tajganj/info,Open,No,Yes,8,18,1500,High,Luxury
The Salt Cafe Kitchen & Bar,"North Indian, Continental, Chinese, Italian, Finger Food","₹2,000 for two",4.9,agra,tajganj,https://www.zomato.com/agra/the-salt-cafe-kitchen-bar-tajganj/info,Open,Yes,Yes,5,18,2000,High,Luxury
Pind Balluchi,"North Indian, Mughlai, Chinese, Desserts",₹900 for two,4.1,agra,tajganj,https://www.zomato.com/agra/pind-balluchi-tajganj/info,Open,No,No,4,18,900,Medium,Premium
The Nawaabs,"North Indian, Biryani, Kebab, Beverages","₹1,300 for two",4.4,agra,tajganj,https://www.zomato.com/agra/the-nawaabs-tajganj/info,Open,No,Yes,4,18,1300,Medium,Premium
The Bakers Canvas,"Beverages, Cafe, Coffee, Desserts, Fast Food, Pizza, Sandwich, Cake","₹1,000 for two",4.5,agra,tajganj,https://www.zomato.com/agra/the-bakers-canvas-agra-cantt/info,Open,Yes,No,8,18,1000,Medium,Premium
JB's Lounge & Bar,"Continental, Beverages","₹1,500 for two",4.6,agra,tajganj,https://www.zomato.com/agra/jbs-lounge-bar-tajganj/info,Open,Yes,Yes,2,18,1500,High,Luxury
My Bar Headquarters,"North Indian, Chinese, Bar Food, Italian, Desserts, Continental, Asian","₹1,200 for two",4.5,agra,khandari,https://www.zomato.com/agra/my-bar-headquarters-khandari/info,Open,No,Yes,7,18,1200,Medium,Premium
Drink Inn,"Fast Food, Bar Food","₹1,200 for two",4.1,agra,khandari,https://www.zomato.com/agra/drink-inn-kamla-nagar/info,Open,Yes,Yes,2,18,1200,Medium,Premium
The Indian Curry,"North Indian, Chinese, Oriental, Continental, Desserts, Beverages, Italian","₹1,500 for two",4.2,agra,khandari,https://www.zomato.com/agra/the-indian-curry-kamla-nagar/info,Open,Yes,Yes,7,18,1500,High,Luxury
Cafe G - Holiday Inn,"North Indian, Continental, South Indian, Chinese, Asian, Italian","₹2,300 for two",4.4,agra,khandari,https://www.zomato.com/agra/cafe-g-holiday-inn-civil-lines/info,Closed,Yes,Yes,6,18,2300,High,Luxury
Sidewalk Bakehouse & Cafe,"Bakery, Continental, Italian, Pizza, Burger, Fast Food, Coffee, Beverages","₹1,200 for two",4.3,agra,khandari,https://www.zomato.com/agra/sidewalk-bakehouse-cafe-civil-lines/info,Open,No,No,8,18,1200,Medium,Premium
Citrus Cafe By Lemon Tree,"North Indian, Continental, Chinese, Fast Food, Desserts, Beverages","₹1,200 for two",4.2,agra,khandari,https://www.zomato.com/agra/citrus-cafe-by-lemon-tree-khandari/info,Open,No,No,6,18,1200,Medium,Premium
Sasural The Restro,"North Indian, Chinese, Momos, Fast Food, Pizza, Burger, Beverages",₹450 for two,4.4,agra,khandari,https://www.zomato.com/agra/sasural-the-restro-sikandra/info,Open,No,Yes,7,18,450,Low,Casual
City Dhaba,"North Indian, Street Food, Fast Food, South Indian, Shake",₹400 for two,4.2,agra,khandari,https://www.zomato.com/agra/city-dhaba-khandari/info,Open,No,Yes,5,18,400,Low,Casual
Deviram Royal Restaurant,"North Indian, Chinese, Fast Food, Biryani, Continental",₹400 for two,3.7,agra,khandari,https://www.zomato.com/agra/deviram-royal-restaurant-rakabganj/info,Closed,No,No,5,18,400,Low,Casual
My Bar Headquarters,"North Indian, Chinese, Bar Food, Italian, Desserts, Continental, Asian","₹1,200 for two",4.5,agra,khandari,https://www.zomato.com/agra/my-bar-headquarters-khandari/info,Open,No,Yes,7,18,1200,Medium,Premium
Drink Inn,"Fast Food, Bar Food","₹1,200 for two",4.1,agra,khandari,https://www.zomato.com/agra/drink-inn-kamla-nagar/info,Open,Yes,No,2,18,1200,Medium,Premium
The Indian Curry,"North Indian, Chinese, Oriental, Continental, Desserts, Beverages, Italian","₹1,500 for two",4.2,agra,khandari,https://www.zomato.com/agra/the-indian-curry-kamla-nagar/info,Open,Yes,Yes,7,18,1500,High,Luxury
Cafe G - Holiday Inn,"North Indian, Continental, South Indian, Chinese, Asian, Italian","₹2,300 for two",4.4,agra,khandari,https://www.zomato.com/agra/cafe-g-holiday-inn-civil-lines/info,Closed,No,No,6,18,2300,High,Luxury
Sidewalk Bakehouse & Cafe,"Bakery, Continental, Italian, Pizza, Burger, Fast Food, Coffee, Beverages","₹1,200 for two",4.3,agra,khandari,https://www.zomato.com/agra/sidewalk-bakehouse-cafe-civil-lines/info,Open,Yes,Yes,8,18,1200,Medium,Premium
Citrus Cafe By Lemon Tree,"North Indian, Continental, Chinese, Fast Food, Desserts, Beverages","₹1,200 for two",4.2,agra,khandari,https://www.zomato.com/agra/citrus-cafe-by-lemon-tree-khandari/info,Closed,Yes,Yes,6,18,1200,Medium,Premium
Sasural The Restro,"North Indian, Chinese, Momos, Fast Food, Pizza, Burger, Beverages",₹450 for two,4.4,agra,khandari,https://www.zomato.com/agra/sasural-the-restro-sikandra/info,Open,No,No,7,18,450,Low,Casual
City Dhaba,"North Indian, Street Food, Fast Food, South Indian, Shake",₹400 for two,4.2,agra,khandari,https://www.zomato.com/agra/city-dhaba-khandari/info,Open,Yes,Yes,5,18,400,Low,Casual
Deviram Royal Restaurant,"North Indian, Chinese, Fast Food, Biryani, Continental",₹400 for two,3.7,agra,khandari,https://www.zomato.com/agra/deviram-royal-restaurant-rakabganj/info,Closed,Yes,Yes,5,18,400,Low,Casual
Yo! China,"Chinese, Asian, Thai, Sichuan, Desserts, Beverages","₹1,600 for two",4.4,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/yo-china-sector-9/info,Open,No,No,6,18,1600,High,Luxury
Sa Roca,"Cafe, Sandwich, Bakery",₹700 for two,4.5,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/sa-roca-sector-10/info,Open,No,No,3,18,700,Medium,Premium
Sector 7 Social,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Momos, Beverages","₹1,500 for two",4.4,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/sector-7-social-1-sector-7/info,Open,No,Yes,8,18,1500,High,Luxury
TAO Cafe Kitchen Bar,"Asian, North Indian, Continental","₹2,600 for two",4.5,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/tao-cafe-kitchen-bar-sector-26/info,Open,No,Yes,3,18,2600,High,Luxury
Prankster,"North Indian, Mughlai, Asian, BBQ, Finger Food, Street Food, Desserts, Beverages","₹2,600 for two",4.4,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/prankster-sector-26/info,Open,Yes,Yes,8,18,2600,High,Luxury
Dhaba 7,"North Indian, Mughlai, Kebab","₹1,500 for two",4.4,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/dhaba-7-1-sector-7/info,Open,No,No,3,18,1500,High,Luxury
Meliaa - A Fine Cuisine Bar,"Turkish, Mediterranean, Greek, Desserts","₹1,800 for two",4.6,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/meliaa-a-fine-cuisine-bar-sector-8/info,Open,Yes,Yes,4,18,1800,High,Luxury
Tulum Rooftop Bar & Kitchen,"Continental, Mexican, Pizza, Salad","₹1,600 for two",4.2,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/tulum-rooftop-bar-kitchen-sector-34/info,Open,No,Yes,4,18,1600,High,Luxury
Barista Diner,"Cafe, Coffee, Italian, Mexican, Continental, Pizza, Sandwich, Salad",₹700 for two,4.5,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/barista-diner-sector-26/info,Open,Yes,Yes,8,18,700,Medium,Premium
Yo! China,"Chinese, Asian, Thai, Sichuan, Desserts, Beverages","₹1,600 for two",4.4,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/yo-china-sector-9/info,Open,Yes,Yes,6,18,1600,High,Luxury
Sa Roca,"Cafe, Sandwich, Bakery",₹700 for two,4.5,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/sa-roca-sector-10/info,Open,Yes,Yes,3,18,700,Medium,Premium
Sector 7 Social,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Momos, Beverages","₹1,500 for two",4.4,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/sector-7-social-1-sector-7/info,Open,No,Yes,8,18,1500,High,Luxury
TAO Cafe Kitchen Bar,"Asian, North Indian, Continental","₹2,600 for two",4.5,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/tao-cafe-kitchen-bar-sector-26/info,Open,No,Yes,3,18,2600,High,Luxury
Prankster,"North Indian, Mughlai, Asian, BBQ, Finger Food, Street Food, Desserts, Beverages","₹2,600 for two",4.4,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/prankster-sector-26/info,Open,No,No,8,18,2600,High,Luxury
Dhaba 7,"North Indian, Mughlai, Kebab","₹1,500 for two",4.4,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/dhaba-7-1-sector-7/info,Open,No,No,3,18,1500,High,Luxury
Meliaa - A Fine Cuisine Bar,"Turkish, Mediterranean, Greek, Desserts","₹1,800 for two",4.6,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/meliaa-a-fine-cuisine-bar-sector-8/info,Open,Yes,No,4,18,1800,High,Luxury
Tulum Rooftop Bar & Kitchen,"Continental, Mexican, Pizza, Salad","₹1,600 for two",4.2,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/tulum-rooftop-bar-kitchen-sector-34/info,Open,No,No,4,18,1600,High,Luxury
Barista Diner,"Cafe, Coffee, Italian, Mexican, Continental, Pizza, Sandwich, Salad",₹700 for two,4.5,chandigarh,sector-8-chandigarh,https://www.zomato.com/chandigarh/barista-diner-sector-26/info,Open,No,No,8,18,700,Medium,Premium
Romeo lane,"North Indian, Cafe","₹3,500 for two",4.4,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/romeo-lane-sector-70-mohali/info,Open,Yes,Yes,2,18,3500,High,Luxury
The Coffee Bean & Tea Leaf,"Cafe, Tea, Beverages, Continental, Fast Food, Bakery, Desserts","₹1,100 for two",4.5,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/the-coffee-bean-tea-leaf-sector-70-mohali/info,Open,No,No,7,18,1100,Medium,Premium
One8 Commune,"Continental, Mediterranean, North Indian","₹1,200 for two",4.4,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/one8-commune-sector-67-mohali/info,Open,Yes,Yes,3,18,1200,Medium,Premium
Jhumroo,"North Indian, Street Food, Fast Food","₹1,000 for two",4.9,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/jhumroo-phase-3-mohali/info,Open,Yes,Yes,3,18,1000,Medium,Premium
Pincode By Kunal Kapur,"North Indian, Mughlai, Kebab, Biryani, Desserts, Beverages","₹1,400 for two",4.2,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/pincode-by-kunal-kapur-sector-67-mohali/info,Open,Yes,No,6,18,1400,Medium,Premium
Medusa Cafe & Bar,"North Indian, Asian, Italian","₹2,000 for two",,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/medusa-cafe-bar-sector-67-mohali/info,Open,No,Yes,3,18,2000,High,Luxury
YumTum China,"Sichuan, Thai, Asian, Chinese, Indo-Chinese, Momos, Seafood, Japanese","₹1,400 for two",4.2,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/yumtum-china-phase-5-mohali/info,Open,No,Yes,8,18,1400,Medium,Premium
Cafe Olio,"Cafe, European, Fast Food, Street Food, Pizza, Desserts, Beverages","₹1,400 for two",4.4,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/cafe-olio-sector-35/info,Open,Yes,No,7,18,1400,Medium,Premium
Rojo Tomate,"Italian, Pizza, Pasta, Continental, Beverages, Shake","₹1,800 for two",4.3,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/rojo-tomate-sector-70-mohali/info,Open,No,No,6,18,1800,High,Luxury
Romeo lane,"North Indian, Cafe","₹3,500 for two",4.4,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/romeo-lane-sector-70-mohali/info,Open,No,No,2,18,3500,High,Luxury
The Coffee Bean & Tea Leaf,"Cafe, Tea, Beverages, Continental, Fast Food, Bakery, Desserts","₹1,100 for two",4.5,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/the-coffee-bean-tea-leaf-sector-70-mohali/info,Open,Yes,No,7,18,1100,Medium,Premium
One8 Commune,"Continental, Mediterranean, North Indian","₹1,200 for two",4.4,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/one8-commune-sector-67-mohali/info,Open,Yes,Yes,3,18,1200,Medium,Premium
Jhumroo,"North Indian, Street Food, Fast Food","₹1,000 for two",4.9,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/jhumroo-phase-3-mohali/info,Open,No,No,3,18,1000,Medium,Premium
Pincode By Kunal Kapur,"North Indian, Mughlai, Kebab, Biryani, Desserts, Beverages","₹1,400 for two",4.2,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/pincode-by-kunal-kapur-sector-67-mohali/info,Open,Yes,No,6,18,1400,Medium,Premium
Medusa Cafe & Bar,"North Indian, Asian, Italian","₹2,000 for two",,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/medusa-cafe-bar-sector-67-mohali/info,Open,Yes,Yes,3,18,2000,High,Luxury
YumTum China,"Sichuan, Thai, Asian, Chinese, Indo-Chinese, Momos, Seafood, Japanese","₹1,400 for two",4.2,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/yumtum-china-phase-5-mohali/info,Open,Yes,No,8,18,1400,Medium,Premium
Cafe Olio,"Cafe, European, Fast Food, Street Food, Pizza, Desserts, Beverages","₹1,400 for two",4.4,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/cafe-olio-sector-35/info,Open,Yes,Yes,7,18,1400,Medium,Premium
Rojo Tomate,"Italian, Pizza, Pasta, Continental, Beverages, Shake","₹1,800 for two",4.3,chandigarh,phase-5-mohali,https://www.zomato.com/chandigarh/rojo-tomate-sector-70-mohali/info,Open,Yes,No,6,18,1800,High,Luxury
Yo! China,"Chinese, Asian, Thai, Sichuan, Desserts, Beverages","₹1,600 for two",4.4,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/yo-china-sector-9/info,Open,No,Yes,6,18,1600,High,Luxury
Sa Roca,"Cafe, Sandwich, Bakery",₹700 for two,4.5,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/sa-roca-sector-10/info,Open,Yes,No,3,18,700,Medium,Premium
The Pizza Kitchen,"Pizza, Fast Food, Beverages","₹1,100 for two",4.1,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/the-pizza-kitchen-sector-10/info,Open,No,No,3,18,1100,Medium,Premium
Sector 7 Social,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Momos, Beverages","₹1,500 for two",4.4,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/sector-7-social-1-sector-7/info,Open,No,No,8,18,1500,High,Luxury
Tulum Rooftop Bar & Kitchen,"Continental, Mexican, Pizza, Salad","₹1,600 for two",4.2,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/tulum-rooftop-bar-kitchen-sector-34/info,Open,No,No,4,18,1600,High,Luxury
TAO Cafe Kitchen Bar,"Asian, North Indian, Continental","₹2,600 for two",4.5,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/tao-cafe-kitchen-bar-sector-26/info,Open,No,Yes,3,18,2600,High,Luxury
Meliaa - A Fine Cuisine Bar,"Turkish, Mediterranean, Greek, Desserts","₹1,800 for two",4.6,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/meliaa-a-fine-cuisine-bar-sector-8/info,Open,Yes,Yes,4,18,1800,High,Luxury
Prankster,"North Indian, Mughlai, Asian, BBQ, Finger Food, Street Food, Desserts, Beverages","₹2,600 for two",4.4,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/prankster-sector-26/info,Open,No,Yes,8,18,2600,High,Luxury
Dhaba 7,"North Indian, Mughlai, Kebab","₹1,500 for two",4.4,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/dhaba-7-1-sector-7/info,Open,No,Yes,3,18,1500,High,Luxury
Yo! China,"Chinese, Asian, Thai, Sichuan, Desserts, Beverages","₹1,600 for two",4.4,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/yo-china-sector-9/info,Open,No,No,6,18,1600,High,Luxury
Sa Roca,"Cafe, Sandwich, Bakery",₹700 for two,4.5,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/sa-roca-sector-10/info,Open,No,Yes,3,18,700,Medium,Premium
The Pizza Kitchen,"Pizza, Fast Food, Beverages","₹1,100 for two",4.1,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/the-pizza-kitchen-sector-10/info,Open,No,No,3,18,1100,Medium,Premium
Sector 7 Social,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Momos, Beverages","₹1,500 for two",4.4,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/sector-7-social-1-sector-7/info,Open,Yes,No,8,18,1500,High,Luxury
Tulum Rooftop Bar & Kitchen,"Continental, Mexican, Pizza, Salad","₹1,600 for two",4.2,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/tulum-rooftop-bar-kitchen-sector-34/info,Open,Yes,No,4,18,1600,High,Luxury
TAO Cafe Kitchen Bar,"Asian, North Indian, Continental","₹2,600 for two",4.5,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/tao-cafe-kitchen-bar-sector-26/info,Open,No,No,3,18,2600,High,Luxury
Meliaa - A Fine Cuisine Bar,"Turkish, Mediterranean, Greek, Desserts","₹1,800 for two",4.6,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/meliaa-a-fine-cuisine-bar-sector-8/info,Open,Yes,No,4,18,1800,High,Luxury
Prankster,"North Indian, Mughlai, Asian, BBQ, Finger Food, Street Food, Desserts, Beverages","₹2,600 for two",4.4,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/prankster-sector-26/info,Open,Yes,No,8,18,2600,High,Luxury
Dhaba 7,"North Indian, Mughlai, Kebab","₹1,500 for two",4.4,chandigarh,sector-9-chandigarh,https://www.zomato.com/chandigarh/dhaba-7-1-sector-7/info,Open,Yes,No,3,18,1500,High,Luxury
Yo! China,"Chinese, Asian, Thai, Sichuan, Desserts, Beverages","₹1,600 for two",4.4,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/yo-china-sector-9/info,Open,No,Yes,6,18,1600,High,Luxury
Sa Roca,"Cafe, Sandwich, Bakery",₹700 for two,4.5,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/sa-roca-sector-10/info,Open,Yes,No,3,18,700,Medium,Premium
TAO Cafe Kitchen Bar,"Asian, North Indian, Continental","₹2,600 for two",4.5,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/tao-cafe-kitchen-bar-sector-26/info,Open,Yes,No,3,18,2600,High,Luxury
Prankster,"North Indian, Mughlai, Asian, BBQ, Finger Food, Street Food, Desserts, Beverages","₹2,600 for two",4.4,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/prankster-sector-26/info,Open,Yes,No,8,18,2600,High,Luxury
Sector 7 Social,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Momos, Beverages","₹1,500 for two",4.4,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/sector-7-social-1-sector-7/info,Open,Yes,Yes,8,18,1500,High,Luxury
Dhaba 7,"North Indian, Mughlai, Kebab","₹1,500 for two",4.4,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/dhaba-7-1-sector-7/info,Open,Yes,Yes,3,18,1500,High,Luxury
Barista Diner,"Cafe, Coffee, Italian, Mexican, Continental, Pizza, Sandwich, Salad",₹700 for two,4.5,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/barista-diner-sector-26/info,Open,No,Yes,8,18,700,Medium,Premium
Seville Bar And Lounge,"Asian, Italian, North Indian, Continental, Pizza, Mediterranean, Mughlai, Bakery","₹3,000 for two",4.5,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/seville-bar-and-lounge-sector-26/info,Open,Yes,Yes,8,18,3000,High,Luxury
Sir Dough,"Cafe, Coffee, Juices, Shake, Beverages","₹2,000 for two",4.6,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/sir-dough-sector-7/info,Open,No,Yes,5,18,2000,High,Luxury
Yo! China,"Chinese, Asian, Thai, Sichuan, Desserts, Beverages","₹1,600 for two",4.4,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/yo-china-sector-9/info,Open,Yes,No,6,18,1600,High,Luxury
Sa Roca,"Cafe, Sandwich, Bakery",₹700 for two,4.5,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/sa-roca-sector-10/info,Open,Yes,No,3,18,700,Medium,Premium
TAO Cafe Kitchen Bar,"Asian, North Indian, Continental","₹2,600 for two",4.5,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/tao-cafe-kitchen-bar-sector-26/info,Open,Yes,No,3,18,2600,High,Luxury
Prankster,"North Indian, Mughlai, Asian, BBQ, Finger Food, Street Food, Desserts, Beverages","₹2,600 for two",4.4,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/prankster-sector-26/info,Open,Yes,No,8,18,2600,High,Luxury
Sector 7 Social,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Momos, Beverages","₹1,500 for two",4.4,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/sector-7-social-1-sector-7/info,Open,No,No,8,18,1500,High,Luxury
Dhaba 7,"North Indian, Mughlai, Kebab","₹1,500 for two",4.4,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/dhaba-7-1-sector-7/info,Open,Yes,No,3,18,1500,High,Luxury
Barista Diner,"Cafe, Coffee, Italian, Mexican, Continental, Pizza, Sandwich, Salad",₹700 for two,4.5,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/barista-diner-sector-26/info,Open,Yes,Yes,8,18,700,Medium,Premium
Seville Bar And Lounge,"Asian, Italian, North Indian, Continental, Pizza, Mediterranean, Mughlai, Bakery","₹3,000 for two",4.5,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/seville-bar-and-lounge-sector-26/info,Open,Yes,No,8,18,3000,High,Luxury
Sir Dough,"Cafe, Coffee, Juices, Shake, Beverages","₹2,000 for two",4.6,chandigarh,sector-7-chandigarh,https://www.zomato.com/chandigarh/sir-dough-sector-7/info,Open,No,Yes,5,18,2000,High,Luxury
Yo! China,"Chinese, Asian, Thai, Sichuan, Desserts, Beverages","₹1,600 for two",4.4,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/yo-china-sector-9/info,Open,Yes,No,6,18,1600,High,Luxury
Prankster,"North Indian, Mughlai, Asian, BBQ, Finger Food, Street Food, Desserts, Beverages","₹2,600 for two",4.4,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/prankster-sector-26/info,Open,Yes,No,8,18,2600,High,Luxury
TAO Cafe Kitchen Bar,"Asian, North Indian, Continental","₹2,600 for two",4.5,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/tao-cafe-kitchen-bar-sector-26/info,Open,Yes,No,3,18,2600,High,Luxury
Tulum Rooftop Bar & Kitchen,"Continental, Mexican, Pizza, Salad","₹1,600 for two",4.2,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/tulum-rooftop-bar-kitchen-sector-34/info,Open,Yes,Yes,4,18,1600,High,Luxury
Sa Roca,"Cafe, Sandwich, Bakery",₹700 for two,4.5,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/sa-roca-sector-10/info,Open,No,Yes,3,18,700,Medium,Premium
Ministry Of Bar Exchange,"North Indian, Chinese, Continental, Salad, Mughlai, Fast Food, Bar Food, Desserts","₹2,200 for two",4.4,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/ministry-of-bar-exchange-chandigarh-industrial-area/info,Open,No,No,8,18,2200,High,Luxury
Sector 7 Social,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Momos, Beverages","₹1,500 for two",4.4,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/sector-7-social-1-sector-7/info,Open,No,Yes,8,18,1500,High,Luxury
Barista Diner,"Cafe, Coffee, Italian, Mexican, Continental, Pizza, Sandwich, Salad",₹700 for two,4.5,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/barista-diner-sector-26/info,Open,No,Yes,8,18,700,Medium,Premium
Seville Bar And Lounge,"Asian, Italian, North Indian, Continental, Pizza, Mediterranean, Mughlai, Bakery","₹3,000 for two",4.5,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/seville-bar-and-lounge-sector-26/info,Open,No,No,8,18,3000,High,Luxury
Yo! China,"Chinese, Asian, Thai, Sichuan, Desserts, Beverages","₹1,600 for two",4.4,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/yo-china-sector-9/info,Open,No,No,6,18,1600,High,Luxury
Prankster,"North Indian, Mughlai, Asian, BBQ, Finger Food, Street Food, Desserts, Beverages","₹2,600 for two",4.4,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/prankster-sector-26/info,Open,Yes,No,8,18,2600,High,Luxury
TAO Cafe Kitchen Bar,"Asian, North Indian, Continental","₹2,600 for two",4.5,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/tao-cafe-kitchen-bar-sector-26/info,Open,Yes,No,3,18,2600,High,Luxury
Tulum Rooftop Bar & Kitchen,"Continental, Mexican, Pizza, Salad","₹1,600 for two",4.2,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/tulum-rooftop-bar-kitchen-sector-34/info,Open,Yes,Yes,4,18,1600,High,Luxury
Sa Roca,"Cafe, Sandwich, Bakery",₹700 for two,4.5,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/sa-roca-sector-10/info,Open,Yes,Yes,3,18,700,Medium,Premium
Ministry Of Bar Exchange,"North Indian, Chinese, Continental, Salad, Mughlai, Fast Food, Bar Food, Desserts","₹2,200 for two",4.4,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/ministry-of-bar-exchange-chandigarh-industrial-area/info,Open,No,No,8,18,2200,High,Luxury
Sector 7 Social,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Momos, Beverages","₹1,500 for two",4.4,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/sector-7-social-1-sector-7/info,Open,No,Yes,8,18,1500,High,Luxury
Barista Diner,"Cafe, Coffee, Italian, Mexican, Continental, Pizza, Sandwich, Salad",₹700 for two,4.5,chandigarh,sector-26-chandigarh,https://www.zomato.com/chandigarh/barista-diner-sector-26/info,Open,Yes,No,8,18,700,Medium,Premium
